component_id,lot_id,timestamp_h,iddq_uA,leakage_uA,prop_delay_ns,defective
C01001,L01,0,11.208,9.687,5.672,0
C01001,L01,24,14.44,12.602,6.345,0
C01001,L01,96,23.923,21.05,8.342,0
C01001,L01,168,33.316,29.712,10.345,0
C01002,L01,0,11.251,9.785,5.665,1
C01002,L01,24,26.251,20.499,8.027,1
C01002,L01,96,71.198,51.978,15.165,1
C01002,L01,168,116.351,83.749,22.265,1
C01003,L01,0,11.252,9.702,5.662,0
C01003,L01,24,12.575,12.357,6.104,0
C01003,L01,96,16.652,20.147,7.39,0
C01003,L01,168,20.727,27.896,8.665,0
C01004,L01,0,11.187,9.875,5.646,0
C01004,L01,24,13.984,11.613,6.176,0
C01004,L01,96,22.011,17.769,7.757,0
C01004,L01,168,30.153,23.67,9.306,0
C01005,L01,0,11.118,9.682,5.666,0
C01005,L01,24,12.547,11.661,6.367,0
C01005,L01,96,16.528,17.206,8.515,0
C01005,L01,168,20.531,22.654,10.66,0
C01006,L01,0,11.171,9.757,5.666,0
C01006,L01,24,12.27,12.541,6.107,0
C01006,L01,96,15.275,20.677,7.431,0
C01006,L01,168,18.268,28.773,8.79,0
C01007,L01,0,11.313,9.727,5.67,0
C01007,L01,24,14.141,12.407,5.961,0
C01007,L01,96,23.209,20.496,6.898,0
C01007,L01,168,32.291,28.453,7.864,0
C01008,L01,0,11.227,9.757,5.683,0
C01008,L01,24,14.071,12.507,6.286,0
C01008,L01,96,22.75,21.198,8.169,0
C01008,L01,168,31.404,29.707,10.011,0
C01009,L01,0,11.099,9.806,5.655,0
C01009,L01,24,12.311,12.976,6.194,0
C01009,L01,96,16.156,23.122,7.824,0
C01009,L01,168,19.782,32.788,9.339,0
C01010,L01,0,11.16,9.744,5.675,0
C01010,L01,24,12.675,11.377,6.132,0
C01010,L01,96,16.889,16.252,7.615,0
C01010,L01,168,21.524,21.204,9.099,0
C01011,L01,0,11.151,9.926,5.646,0
C01011,L01,24,14.301,11.032,5.834,0
C01011,L01,96,23.339,15.14,6.303,0
C01011,L01,168,32.33,19.236,6.78,0
C01012,L01,0,11.335,9.768,5.657,0
C01012,L01,24,13.092,13.351,6.403,0
C01012,L01,96,18.618,23.806,8.63,0
C01012,L01,168,24.355,34.204,10.829,0
C01013,L01,0,11.194,9.725,5.681,0
C01013,L01,24,12.511,10.731,6.368,0
C01013,L01,96,16.739,13.944,8.457,0
C01013,L01,168,20.969,17.199,10.561,0
C01014,L01,0,11.182,9.829,5.639,1
C01014,L01,24,23.653,15.498,7.092,1
C01014,L01,96,61.054,32.924,11.433,1
C01014,L01,168,98.285,50.169,15.725,1
C01015,L01,0,11.216,9.774,5.696,0
C01015,L01,24,13.51,12.171,5.862,0
C01015,L01,96,19.697,19.643,6.494,0
C01015,L01,168,26.364,27.082,7.103,0
C01016,L01,0,11.166,9.685,5.657,0
C01016,L01,24,12.439,11.832,6.238,0
C01016,L01,96,16.587,18.442,7.875,0
C01016,L01,168,21.033,25.017,9.484,0
C01017,L01,0,11.189,9.818,5.665,0
C01017,L01,24,12.34,12.764,5.985,0
C01017,L01,96,15.834,21.812,7.048,0
C01017,L01,168,19.291,30.929,8.1,0
C01018,L01,0,11.209,9.698,5.663,0
C01018,L01,24,12.961,11.519,6.161,0
C01018,L01,96,18.28,16.078,7.555,0
C01018,L01,168,23.625,20.947,9.015,0
C01019,L01,0,11.12,9.718,5.663,0
C01019,L01,24,12.26,12.805,6.406,0
C01019,L01,96,15.377,22.058,8.676,0
C01019,L01,168,18.333,31.244,10.902,0
C01020,L01,0,11.235,9.894,5.636,0
C01020,L01,24,12.73,10.824,6.118,0
C01020,L01,96,16.933,14.109,7.519,0
C01020,L01,168,21.421,17.56,8.898,0
C02001,L02,0,10.453,11.3,5.464,0
C02001,L02,24,12.299,14.385,5.783,0
C02001,L02,96,18.282,23.042,6.707,0
C02001,L02,168,23.953,31.582,7.681,0
C02002,L02,0,10.32,11.419,5.47,1
C02002,L02,24,22.55,26.076,8.045,1
C02002,L02,96,58.888,70.888,15.83,1
C02002,L02,168,95.099,115.404,23.58,1
C02003,L02,0,10.442,11.349,5.465,0
C02003,L02,24,11.469,12.521,6.017,0
C02003,L02,96,14.433,15.758,7.696,0
C02003,L02,168,17.427,19.182,9.397,0
C02004,L02,0,10.315,11.328,5.456,0
C02004,L02,24,12.17,13.473,6.081,0
C02004,L02,96,17.355,19.775,7.894,0
C02004,L02,168,22.657,25.926,9.681,0
C02005,L02,0,10.246,11.331,5.459,1
C02005,L02,24,19.426,31.042,5.881,1
C02005,L02,96,46.229,89.901,7.245,1
C02005,L02,168,73.48,148.83,8.604,1
C02006,L02,0,10.318,11.38,5.456,0
C02006,L02,24,11.389,15.127,5.61,0
C02006,L02,96,14.151,26.441,6.064,0
C02006,L02,168,16.862,37.639,6.479,0
C02007,L02,0,10.351,11.41,5.469,0
C02007,L02,24,13.131,12.397,6.128,0
C02007,L02,96,20.982,15.36,8.063,0
C02007,L02,168,28.808,18.381,10.032,0
C02008,L02,0,10.405,11.311,5.46,0
C02008,L02,24,12.701,15.285,5.998,0
C02008,L02,96,19.676,27.499,7.561,0
C02008,L02,168,26.685,39.687,9.167,0
C02009,L02,0,10.347,11.276,5.469,0
C02009,L02,24,12.377,12.78,6.208,0
C02009,L02,96,18.482,16.609,8.481,0
C02009,L02,168,24.747,20.476,10.704,0
C02010,L02,0,10.372,11.419,5.44,0
C02010,L02,24,11.677,13.453,5.966,0
